date,total_length,number_of_rides,zip_code,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,daylight,is_work_day
2023-02-11,474.0,35.0,07310,47.8,37.8,42.4,45.0,31.5,38.5,20.0,0.41,0.0,0.0,0.0,0.0,31.0,11.3,1023.7,0.122,9.9,159.8,13.6,0.6,37829,0
2023-02-23,507.0,69.0,07030,43.0,38.2,39.8,38.4,30.2,34.1,36.4,0.879,0.018,0.125,0.0,0.0,25.3,13.2,1013.0,1.0,7.8,40.0,3.3,0.2,39658,1
2023-02-18,208.0,30.0,07310,44.1,28.7,36.3,38.6,22.9,30.1,16.0,0.441,0.007,0.0417,0.0,0.0,44.7,11.3,1025.4,0.248,9.9,177.8,15.3,0.7,38882,0
2023-03-20,583.0,71.0,07310,50.6,31.8,40.9,50.6,25.1,36.5,18.2,0.406,0.0,0.0,0.0,0.0,30.5,10.6,1024.9,0.009,9.9,239.8,20.6,0.8,43699,1
2023-01-28,1092.0,76.0,07030,51.3,35.7,43.9,51.3,30.3,40.4,23.4,0.447,0.01,0.0417,0.0,0.0,31.1,12.3,1023.5,0.2789999999999999,9.9,106.9,9.3,0.5,35911,0
2023-06-07,227.0,48.0,07302,71.4,58.8,65.0,71.4,58.8,65.0,43.1,0.457,0.0,0.0,0.0,0.0,29.9,8.8,1003.8,0.293,3.8,164.2,14.2,0.6,53985,1
2023-04-30,184.0,15.0,07310,60.2,50.3,54.6,60.2,50.3,54.6,53.2,0.947,2.14,0.5,0.0,0.0,26.4,13.6,999.5,1.0,2.9,42.8,3.6,0.2,50094,0
2023-06-10,2379.0,85.0,07302,79.0,58.7,68.5,79.0,58.7,68.5,50.6,0.544,0.007,0.0417,0.0,0.0,42.5,7.3,1008.6,0.376,9.7,282.0,24.4,1.0,54121,0
2023-04-18,590.0,84.0,07030,57.0,46.8,52.0,57.0,42.0,51.0,30.0,0.429,0.0,0.0,0.0,0.0,31.4,15.8,1007.6,0.4579999999999999,9.9,125.8,11.0,0.5,48333,1
2023-09-01,2440.0,123.0,07030,76.0,61.8,68.6,76.0,61.8,68.6,49.1,0.506,0.0,0.0,0.0,0.0,20.8,9.9,1024.2,0.012,9.9,83.0,7.2,0.8,47159,1
2023-10-28,1282.0,84.0,07310,81.5,64.7,71.3,82.2,64.7,71.4,58.0,0.637,0.0,0.0,0.0,0.0,23.0,8.4,1016.4,0.283,9.8,159.7,13.7,0.6,38165,0
2023-04-09,703.0,42.0,07302,55.0,41.7,47.1,55.0,38.9,45.5,27.8,0.478,0.0,0.0,0.0,0.0,25.3,14.6,1032.4,0.103,9.9,279.4,24.1,0.9,46929,0
2023-08-06,1406.0,90.0,07310,84.8,72.2,78.0,85.0,72.2,78.1,60.1,0.547,0.0,0.0,0.0,0.0,42.5,9.6,1016.0,0.0819999999999999,9.8,0.0,0.0,0.0,50926,0
2022-11-25,14.0,2.0,07302,55.8,46.6,49.4,55.8,41.3,46.8,38.2,0.672,0.019,0.0833,0.0,0.0,33.2,15.5,1013.5,0.696,8.7,31.0,2.6,0.2,34619,0
2023-04-21,744.0,78.0,07310,68.3,51.4,58.9,68.3,51.4,58.9,45.4,0.62,0.0,0.0,0.0,0.0,21.9,10.9,1018.5,0.331,9.8,270.0,23.5,0.9,48784,1
2023-09-08,2304.0,93.0,07310,89.4,74.6,78.2,99.3,74.6,80.0,69.4,0.748,0.024,0.25,0.0,0.0,43.6,9.3,1013.6,0.416,8.8,154.9,13.2,0.8,46059,1
2023-03-22,680.0,87.0,07030,60.6,45.8,51.8,60.6,43.3,50.9,29.8,0.4539999999999999,0.0,0.0,0.0,0.0,34.4,10.9,1026.4,0.228,9.9,195.6,16.9,0.8,44026,1
2023-10-08,966.0,53.0,07302,61.4,51.5,56.5,61.4,51.5,56.5,44.0,0.637,0.0,0.0,0.0,0.0,29.9,16.1,1004.9,0.348,9.9,135.8,11.6,0.8,41255,0
2022-12-10,2017.0,43.0,07302,40.1,30.9,36.2,36.2,22.8,30.2,21.4,0.551,0.0,0.0,0.0,0.0,20.8,11.3,1027.9,0.3989999999999999,9.9,85.6,7.4,0.5,33552,0
2023-04-01,510.0,39.0,07310,68.9,54.7,59.8,68.9,54.7,59.8,49.6,0.71,0.109,0.375,0.0,0.0,39.1,15.1,1000.7,0.79,9.5,120.3,10.2,0.7,45651,0
