date,total_length,number_of_rides,zip_code,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,daylight,is_work_day
2023-02-17,326.0,34.0,07310,61.3,33.8,51.1,61.3,27.0,49.2,43.4,0.755,0.152,0.2917,0.0,0.0,35.8,12.2,1005.7,0.8340000000000001,8.8,19.9,1.7,0.1,38728,1
2023-10-12,474.0,63.0,07302,72.5,56.1,63.5,72.5,56.1,63.5,49.9,0.635,0.0,0.0,0.0,0.0,48.3,7.0,1012.1,0.122,9.8,153.5,13.1,0.7,40621,1
2023-05-12,1073.0,95.0,07310,84.6,61.7,74.3,82.3,61.7,73.6,47.5,0.406,0.0,0.0,0.0,0.0,50.4,12.0,1017.5,0.176,9.8,284.4,24.6,1.0,51672,1
2023-04-14,3927.0,182.0,07030,89.5,68.9,78.5,85.8,68.9,77.4,43.5,0.299,0.0,0.0,0.0,0.0,20.8,11.2,1010.7,0.0559999999999999,9.9,269.5,23.4,0.9,47717,1
2023-02-10,355.0,32.0,07302,59.4,46.4,54.6,59.4,42.2,54.0,36.7,0.531,0.0,0.0,0.0,0.0,43.8,13.2,1012.1,0.206,9.8,151.7,13.0,0.6,37686,1
2023-01-08,432.0,30.0,07302,41.4,33.9,37.6,40.3,28.3,33.8,22.4,0.546,0.0,0.0,0.0,0.0,19.5,8.8,1024.5,0.248,9.9,86.4,7.4,0.4,33931,0
2022-11-02,868.0,74.0,07310,70.2,56.3,62.2,70.2,56.3,62.2,47.1,0.598,0.0,0.0,0.0,0.0,23.0,10.2,1024.5,0.068,9.9,147.9,12.7,0.6,37407,1
2023-03-31,473.0,48.0,07310,54.3,38.8,46.0,54.3,34.8,43.9,30.2,0.547,0.0,0.0,0.0,0.0,35.6,11.3,1023.2,0.639,9.9,139.1,12.0,0.6,45489,1
2023-04-19,656.0,73.0,07310,64.9,45.3,52.8,64.9,41.9,51.1,29.8,0.427,0.0,0.0,0.0,0.0,25.3,14.6,1016.8,0.493,9.9,241.5,21.0,0.9,48482,1
2023-08-09,1294.0,117.0,07030,86.7,69.6,77.5,84.9,69.6,77.1,56.9,0.506,0.004,0.0417,0.0,0.0,25.3,11.3,1006.7,0.24,9.9,0.0,0.0,0.0,50531,1
2023-02-24,262.0,45.0,07310,46.4,28.5,40.9,43.6,22.5,36.6,24.7,0.563,0.0,0.0,0.0,0.0,37.3,11.3,1022.8,0.4679999999999999,8.4,141.4,12.3,0.6,39816,1
2023-07-30,3764.0,192.0,07030,80.3,66.0,73.2,80.0,66.0,73.2,54.3,0.5329999999999999,0.0,0.0,0.0,0.0,26.4,8.9,1012.9,0.267,9.9,267.9,23.2,1.0,51800,0
2023-03-25,250.0,31.0,07030,47.4,42.4,43.9,43.5,35.4,38.3,34.8,0.722,0.115,0.375,0.0,0.0,28.2,16.2,1013.8,0.782,7.5,16.1,1.4,0.1,44515,0
2023-09-03,813.0,66.0,07302,90.6,68.9,78.7,92.5,68.9,79.7,63.9,0.623,0.0,0.0,0.0,0.0,21.9,10.1,1014.2,0.1,9.9,252.1,21.7,0.9,46844,0
2023-08-13,1799.0,101.0,07310,88.3,70.0,79.2,89.8,70.0,80.0,66.3,0.67,0.211,0.125,0.0,0.0,36.7,10.8,1011.7,0.4429999999999999,9.6,0.0,0.0,0.0,49979,0
2023-05-04,599.0,61.0,07310,54.9,48.6,51.2,54.9,45.9,50.6,44.0,0.764,0.014,0.2082999999999999,0.0,0.0,44.7,13.2,1010.7,0.964,9.8,89.3,7.9,0.5,50645,1
2023-10-13,827.0,79.0,07030,63.6,52.3,58.3,63.6,52.3,58.3,42.5,0.5670000000000001,0.0,0.0,0.0,0.0,42.5,7.7,1014.4,0.038,9.9,193.6,16.6,0.7,40461,1
2023-08-22,1171.0,121.0,07030,78.9,67.9,74.1,78.9,67.9,74.1,55.5,0.528,0.0,0.0,0.0,0.0,22.5,13.9,1018.2,0.29,9.9,0.0,0.0,0.0,48681,1
2023-01-31,321.0,41.0,07310,47.8,33.5,38.9,46.0,24.6,34.8,26.5,0.625,0.027,0.1667,0.0,0.0,49.4,12.1,1021.9,0.992,9.7,36.2,3.1,0.2,36298,1
2023-05-15,853.0,65.0,07302,73.5,55.3,64.7,73.5,55.3,64.7,35.5,0.348,0.0,0.0,0.0,0.0,48.3,14.1,1021.8,0.0559999999999999,9.9,300.1,26.0,0.9,52023,1
2023-08-21,595.0,55.0,07302,88.6,72.2,80.5,92.6,72.2,82.0,65.2,0.605,0.0,0.0,0.0,0.0,43.0,7.8,1017.3,0.2739999999999999,9.8,0.0,0.0,0.0,48824,1
2023-07-24,1000.0,94.0,07310,84.9,74.4,78.6,86.5,74.4,79.2,64.5,0.623,0.0,0.0,0.0,0.0,36.7,9.6,1018.8,0.08,9.8,232.6,20.1,0.9,52467,1
2023-07-22,5960.0,219.0,07030,83.6,70.2,77.3,82.7,70.2,77.1,57.6,0.521,0.014,0.0833,0.0,0.0,40.3,9.4,1008.8,0.11,9.9,280.7,24.3,1.0,52678,0
2023-10-08,1137.0,76.0,07030,59.5,50.6,55.4,59.5,50.6,55.4,43.1,0.639,0.0,0.0,0.0,0.0,24.4,15.1,1004.5,0.351,9.9,135.8,11.6,0.8,41254,0
2023-08-31,1779.0,136.0,07030,76.7,65.5,70.6,76.7,65.5,70.6,51.6,0.526,0.0,0.0,0.0,0.0,26.7,14.5,1013.6,0.039,9.9,0.0,0.0,0.0,47313,1
2022-11-29,279.0,39.0,07302,43.4,35.6,40.4,43.4,31.6,38.9,27.8,0.606,0.0,0.0,0.0,0.0,17.4,5.8,1024.1,0.523,9.9,48.8,4.0,0.2,34262,1
2023-06-27,918.0,83.0,07310,79.7,66.9,71.7,79.7,66.9,71.7,66.3,0.84,0.141,0.2917,0.0,0.0,37.8,8.2,1005.9,0.5820000000000001,8.5,160.4,13.7,0.7,54277,1
2023-08-12,4008.0,160.0,07030,84.6,70.3,77.1,88.0,70.3,78.1,64.9,0.662,0.03,0.25,0.0,0.0,26.4,10.0,1011.7,0.2789999999999999,9.8,0.0,0.0,0.0,50121,0
2023-02-19,670.0,60.0,07030,48.8,37.0,42.4,44.5,31.6,39.0,28.0,0.569,0.0,0.0,0.0,0.0,28.4,16.3,1023.9,0.05,9.9,107.5,9.1,0.4,39034,0
2023-02-17,218.0,23.0,07302,61.4,33.8,51.1,61.4,27.2,49.3,43.6,0.759,0.154,0.2917,0.0,0.0,35.1,12.9,1005.7,0.855,8.8,19.9,1.7,0.1,38731,1
2023-09-02,888.0,66.0,07310,79.8,63.2,70.8,79.8,63.2,70.8,56.9,0.624,0.0,0.0,0.0,0.0,36.8,8.8,1022.0,0.045,9.9,266.5,23.0,0.9,47001,0
2022-11-18,312.0,49.0,07310,43.9,33.5,38.8,41.0,28.1,33.3,21.5,0.511,0.0,0.0,0.0,0.0,31.5,17.2,1019.0,0.283,9.9,114.2,9.8,0.5,35346,1
2023-04-26,334.0,54.0,07302,57.5,48.8,53.3,57.5,45.5,52.9,38.6,0.5820000000000001,0.0,0.0,0.0,0.0,33.3,9.3,1023.4,0.563,9.9,206.3,17.8,0.8,49520,1
2023-01-28,309.0,39.0,07302,52.0,35.7,44.0,52.0,30.1,40.7,24.1,0.4589999999999999,0.022,0.0417,0.0,0.0,59.7,13.6,1023.8,0.316,9.9,106.9,9.3,0.5,35917,0
2023-08-23,991.0,115.0,07030,79.4,65.8,71.8,79.4,65.8,71.8,52.0,0.509,0.0,0.0,0.0,0.0,18.3,8.5,1019.8,0.174,9.9,0.0,0.0,0.0,48532,1
2023-04-04,1415.0,123.0,07030,70.8,47.6,59.3,70.8,45.4,59.1,48.4,0.6829999999999999,0.0,0.0,0.0,0.0,20.8,7.6,1016.6,0.233,9.7,234.5,20.1,0.8,46134,1
2022-12-19,408.0,61.0,07030,37.7,30.5,33.7,30.7,23.4,26.6,19.0,0.5479999999999999,0.0,0.0,0.0,0.0,27.3,13.6,1022.5,0.252,9.9,90.7,7.9,0.5,33300,1
2023-02-25,148.0,28.0,07302,33.2,24.6,29.0,31.9,17.0,23.7,16.2,0.5870000000000001,0.0,0.0,0.2,0.0,18.3,7.7,1029.4,0.585,9.8,68.9,6.1,0.2,39976,0
2023-04-16,1163.0,67.0,07310,69.4,56.5,62.4,69.4,56.5,62.4,55.9,0.802,0.0,0.0,0.0,0.0,37.8,9.9,1009.9,0.8059999999999999,7.6,193.9,16.8,0.7,48023,0
2023-08-08,701.0,75.0,07302,80.0,70.9,74.8,80.0,70.9,74.8,64.9,0.726,0.002,0.0417,0.0,0.0,42.0,18.2,1004.6,0.8640000000000001,9.9,207.6,17.8,1.0,50659,1
2023-09-24,150.0,17.0,07030,65.1,62.1,63.8,65.1,62.1,63.8,60.8,0.9,0.71,0.9583,0.0,0.0,31.0,16.1,1015.5,1.0,5.1,43.0,3.7,0.3,43500,0
2022-11-21,199.0,26.0,07302,41.8,27.0,34.7,35.6,19.1,28.2,11.8,0.395,0.0,0.0,0.0,0.0,29.5,13.9,1028.5,0.083,9.9,113.5,9.8,0.5,35020,1
2022-11-09,608.0,75.0,07030,52.9,39.5,46.7,52.9,35.2,44.5,28.5,0.499,0.0,0.0,0.0,0.0,20.8,12.9,1036.3,0.02,9.9,136.7,11.6,0.6,36447,1
2023-06-11,1392.0,80.0,07302,80.5,65.8,72.0,80.6,65.8,72.0,58.0,0.623,0.039,0.125,0.0,0.0,37.8,7.1,1011.1,0.325,9.3,230.4,19.9,0.7,54159,0
2023-10-20,288.0,40.0,07310,63.9,60.0,61.8,63.9,60.0,61.8,58.4,0.889,0.3,0.75,0.0,0.0,34.4,8.9,1007.3,0.928,8.1,26.8,2.3,0.2,39372,1
2023-08-04,1161.0,116.0,07310,75.9,71.1,73.2,75.9,71.1,73.2,64.0,0.7290000000000001,0.007,0.0417,0.0,0.0,48.3,11.2,1014.7,0.939,9.8,86.9,7.5,0.4,51182,1
2023-07-18,517.0,68.0,07310,83.3,73.5,78.1,89.5,73.5,78.9,70.3,0.773,0.166,0.1667,0.0,0.0,40.3,16.4,1014.1,0.222,8.9,133.7,11.5,0.6,53056,1
2023-05-20,391.0,25.0,07030,65.2,57.0,61.0,65.2,57.0,61.0,58.3,0.911,0.777,0.5,0.0,0.0,15.0,7.5,1017.3,0.919,4.4,63.2,5.3,0.2,52579,0
2023-10-30,548.0,65.0,07310,60.9,51.6,56.3,60.9,51.6,56.3,51.6,0.848,0.148,0.25,0.0,0.0,29.2,8.3,1010.3,0.978,7.9,41.5,3.7,0.3,37872,1
2022-11-14,2715.0,56.0,07310,44.9,37.5,41.0,42.2,30.0,35.9,23.1,0.491,0.0,0.0,0.0,0.0,24.2,14.0,1025.9,0.129,9.9,129.2,11.0,0.6,35817,1
2022-12-03,272.0,28.0,07302,58.3,45.9,52.7,58.3,42.4,51.9,44.5,0.748,0.442,0.3333,0.0,0.0,35.5,18.3,1020.1,0.7909999999999999,8.6,7.5,0.7,0.0,33956,0
2023-03-05,392.0,44.0,07310,53.5,38.8,45.2,53.5,34.6,42.6,28.4,0.525,0.0,0.0,0.0,0.0,28.1,10.6,1019.7,0.502,9.9,154.7,13.4,0.7,41256,0
2023-08-10,294.0,60.0,07302,80.9,70.5,74.0,83.7,70.5,74.1,65.6,0.758,0.12,0.375,0.0,0.0,53.9,8.9,1005.9,0.5770000000000001,8.8,0.0,0.0,0.0,50390,1
2023-05-14,3553.0,144.0,07030,73.7,60.2,66.7,73.7,60.2,66.7,35.0,0.313,0.0,0.0,0.0,0.0,36.8,10.1,1021.2,0.047,9.9,317.9,27.5,1.0,51914,0
2023-05-03,696.0,40.0,07302,57.4,47.8,51.7,57.4,43.7,50.5,38.2,0.607,0.0,0.0,0.0,0.0,24.2,9.8,999.5,0.747,9.9,131.2,11.4,0.4,50506,1
2022-11-08,361.0,49.0,07302,58.8,47.4,52.6,58.8,43.4,51.4,24.7,0.35,0.0,0.0,0.0,0.0,31.1,13.9,1033.3,0.131,9.9,141.0,12.2,0.6,36586,1
2023-01-16,456.0,33.0,07310,48.5,29.0,36.9,45.1,19.5,30.5,10.1,0.344,0.0,0.0,0.0,0.0,24.2,14.7,1012.0,0.248,9.9,116.6,10.1,0.5,34586,0
2023-05-24,422.0,46.0,07302,76.3,55.5,63.1,76.3,55.5,63.1,43.8,0.506,0.011,0.125,0.0,0.0,50.6,13.3,1018.3,0.252,9.9,264.1,22.8,0.8,52966,1
2023-04-06,664.0,62.0,07310,76.7,47.3,59.2,76.7,43.7,58.5,49.9,0.742,0.0,0.0,0.0,0.0,47.2,9.6,1019.9,0.8029999999999999,5.7,143.4,12.5,0.6,46453,1
2023-01-06,223.0,41.0,07302,47.9,40.3,45.0,45.2,35.1,42.1,38.6,0.789,0.285,0.2917,0.0,0.0,31.1,10.6,1015.6,0.925,7.9,31.3,2.8,0.2,33799,1
2022-11-16,162.0,30.0,07302,50.4,39.8,44.6,50.4,32.9,39.8,35.9,0.731,0.407,0.375,0.0,0.0,31.1,14.0,1013.2,0.8420000000000001,7.9,91.5,7.9,0.5,35581,1
2023-06-03,1168.0,80.0,07310,69.9,58.0,65.8,69.9,58.0,65.8,55.2,0.6890000000000001,0.0,0.0,0.0,0.0,25.3,15.0,1015.1,0.8170000000000001,9.7,91.1,7.9,0.3,53761,0
2023-10-24,326.0,51.0,07302,66.5,51.0,58.0,66.5,51.0,58.0,45.6,0.642,0.0,0.0,0.0,0.0,38.0,8.0,1027.6,0.039,9.8,136.1,11.8,0.6,38764,1
2023-01-24,2702.0,55.0,07310,46.0,35.3,39.9,40.5,27.6,34.4,23.1,0.511,0.0,0.0,0.0,0.0,28.0,16.9,1019.7,0.674,9.9,113.5,9.9,0.6,35433,1
2023-08-17,478.0,67.0,07302,78.6,73.2,75.0,78.6,73.2,75.0,69.0,0.815,0.0,0.0,0.0,0.0,18.8,10.9,1013.8,0.972,9.8,136.3,11.8,0.9,49408,1
2023-10-04,954.0,73.0,07302,82.4,65.8,72.3,83.6,65.8,72.5,62.3,0.718,0.0,0.0,0.0,0.0,40.3,7.6,1022.2,0.02,9.3,204.3,17.7,0.7,41894,1
2023-08-01,1343.0,115.0,07030,79.8,68.0,74.0,79.8,68.0,74.0,51.5,0.47,0.0,0.0,0.0,0.0,18.3,8.3,1019.5,0.34,9.9,294.8,25.4,1.0,51560,1
2023-10-27,583.0,71.0,07302,75.5,61.4,66.9,75.5,61.4,66.9,54.1,0.64,0.0,0.0,0.0,0.0,44.7,10.3,1019.5,0.084,9.9,73.6,6.5,0.3,38315,1
2023-01-07,686.0,53.0,07310,44.6,37.1,40.6,40.1,31.2,35.6,28.5,0.622,0.0,0.0,0.0,0.0,23.0,10.5,1020.8,0.465,9.9,50.8,4.4,0.3,33860,0
2023-01-25,200.0,29.0,07030,53.9,35.0,39.9,53.9,28.6,36.5,30.2,0.6940000000000001,0.733,0.4167,0.0,0.0,31.6,14.7,1019.3,0.55,7.7,24.4,2.1,0.1,35546,1
2023-06-28,1028.0,100.0,07310,81.7,67.6,74.1,83.4,67.6,74.5,63.6,0.71,0.0,0.0,0.0,0.0,44.7,8.7,1009.3,0.529,9.2,215.7,18.7,0.8,54252,1
2023-10-31,590.0,74.0,07030,52.4,46.3,49.6,52.4,43.4,48.4,35.0,0.5760000000000001,0.0,0.0,0.0,0.0,20.8,12.0,1017.6,0.605,9.9,110.4,9.5,0.6,37724,1
2023-04-22,494.0,47.0,07302,67.6,52.0,58.4,67.6,52.0,58.4,52.1,0.802,0.151,0.125,0.0,0.0,25.3,13.8,1014.0,0.752,9.0,220.5,19.1,0.8,48932,0
2023-10-14,345.0,28.0,07030,56.7,50.0,53.3,56.7,50.0,53.3,46.1,0.777,0.477,0.4583,0.0,0.0,19.5,9.6,1009.5,0.911,7.9,12.4,1.1,0.0,40303,0
