date,total_length,number_of_rides,zip_code
2022-11-01,827,56,07310
2022-11-02,868,74,07310
2022-11-03,714,77,07310
2022-11-04,827,81,07310
2022-11-05,1554,64,07310
2022-11-06,609,66,07310
2022-11-07,746,83,07310
2022-11-08,635,59,07310
2022-11-09,426,60,07310
2022-11-10,745,73,07310
2022-11-11,314,38,07310
2022-11-12,1056,78,07310
2022-11-13,2527,68,07310
2022-11-14,2715,56,07310
2022-11-15,355,39,07310
2022-11-16,413,57,07310
2022-11-17,310,52,07310
2022-11-18,312,49,07310
2022-11-19,357,39,07310
2022-11-20,200,23,07310
2022-11-21,454,55,07310
2022-11-22,520,55,07310
2022-11-23,715,66,07310
2022-11-24,222,27,07310
2022-11-25,1683,40,07310
2022-11-26,539,47,07310
2022-11-27,184,23,07310
2022-11-28,447,52,07310
2022-11-29,323,46,07310
2022-11-30,475,44,07310
2022-12-01,852,52,07310
2022-12-02,443,60,07310
2022-12-03,417,34,07310
2022-12-04,502,49,07310
2022-12-05,633,63,07310
2022-12-06,242,32,07310
2022-12-07,527,59,07310
2022-12-08,451,61,07310
2022-12-09,447,50,07310
2022-12-10,35,3,07310
2022-12-12,199,22,07310
2022-12-13,1749,31,07310
2022-12-14,6,1,07310
2022-12-20,297,31,07310
2022-12-21,267,42,07310
2022-12-22,172,27,07310
2022-12-23,122,15,07310
2022-12-24,61,6,07310
2022-12-25,9,2,07310
2022-12-26,84,12,07310
2022-12-27,228,27,07310
2022-12-28,314,37,07310
2022-12-29,594,40,07310
2022-12-30,610,43,07310
2022-12-31,236,23,07310
2023-01-01,431,44,07310
2023-01-02,644,41,07310
2023-01-03,265,32,07310
2023-01-04,496,47,07310
2023-01-05,523,51,07310
2023-01-06,419,49,07310
2023-01-07,686,53,07310
2023-01-08,370,32,07310
2023-01-09,288,43,07310
2023-01-10,382,52,07310
2023-01-11,548,54,07310
2023-01-12,214,31,07310
2023-01-13,325,41,07310
2023-01-14,387,38,07310
2023-01-15,269,32,07310
2023-01-16,456,33,07310
2023-01-17,517,44,07310
2023-01-18,360,53,07310
2023-01-19,120,18,07310
2023-01-20,374,49,07310
2023-01-21,317,44,07310
2023-01-22,320,41,07310
2023-01-23,366,31,07310
2023-01-24,2702,55,07310
2023-01-25,146,25,07310
2023-01-26,391,51,07310
2023-01-27,612,57,07310
2023-01-28,3444,58,07310
2023-01-29,220,27,07310
2023-01-30,408,51,07310
2023-01-31,321,41,07310
2023-02-01,447,50,07310
2023-02-02,321,45,07310
2023-02-03,1253,25,07310
2023-02-04,194,21,07310
2023-02-05,317,33,07310
2023-02-06,374,48,07310
2023-02-07,346,44,07310
2023-02-08,407,53,07310
2023-02-09,1140,48,07310
2023-02-10,645,60,07310
2023-02-11,474,35,07310
2023-02-12,241,31,07310
2023-02-13,551,57,07310
2023-02-14,406,55,07310
2023-02-15,441,64,07310
2023-02-16,403,56,07310
2023-02-17,326,34,07310
2023-02-18,208,30,07310
2023-02-19,527,49,07310
2023-02-20,541,43,07310
2023-02-21,462,48,07310
2023-02-22,282,40,07310
2023-02-23,349,53,07310
2023-02-24,262,45,07310
2023-02-25,171,23,07310
2023-02-26,456,36,07310
2023-02-27,1906,50,07310
2023-02-28,251,28,07310
2023-03-01,286,44,07310
2023-03-02,241,37,07310
2023-03-03,248,41,07310
2023-03-04,256,29,07310
2023-03-05,392,44,07310
2023-03-06,418,51,07310
2023-03-07,374,48,07310
2023-03-08,1067,46,07310
2023-03-09,448,57,07310
2023-03-10,3138,44,07310
2023-03-11,325,35,07310
2023-03-12,436,41,07310
2023-03-13,204,26,07310
2023-03-14,259,43,07310
2023-03-15,354,47,07310
2023-03-16,450,50,07310
2023-03-17,574,65,07310
2023-03-18,720,65,07310
2023-03-19,6839,28,07310
2023-03-20,583,71,07310
2023-03-21,469,56,07310
2023-03-22,420,59,07310
2023-03-23,479,61,07310
2023-03-24,847,63,07310
2023-03-25,321,31,07310
2023-03-26,1196,70,07310
2023-03-27,265,35,07310
2023-03-28,456,63,07310
2023-03-29,320,48,07310
2023-03-30,417,57,07310
2023-03-31,473,48,07310
2023-04-01,510,39,07310
2023-04-02,712,51,07310
2023-04-03,2139,62,07310
2023-04-04,1006,82,07310
2023-04-05,324,49,07310
2023-04-06,664,62,07310
2023-04-07,458,56,07310
2023-04-08,683,67,07310
2023-04-09,633,44,07310
2023-04-10,1405,62,07310
2023-04-11,796,79,07310
2023-04-12,1079,97,07310
2023-04-13,1750,97,07310
2023-04-14,1228,98,07310
2023-04-15,2651,81,07310
2023-04-16,1163,67,07310
2023-04-17,498,68,07310
2023-04-18,629,74,07310
2023-04-19,656,73,07310
2023-04-20,596,65,07310
2023-04-21,744,78,07310
2023-04-22,1619,80,07310
2023-04-23,2388,104,07310
2023-04-24,726,68,07310
2023-04-25,601,73,07310
2023-04-26,634,69,07310
2023-04-27,524,60,07310
2023-04-28,354,37,07310
2023-04-29,65,11,07310
2023-04-30,184,15,07310
2023-05-01,818,60,07310
2023-05-02,521,58,07310
2023-05-03,509,60,07310
2023-05-04,599,61,07310
2023-05-05,974,89,07310
2023-05-06,4862,110,07310
2023-05-07,4022,85,07310
2023-05-08,1011,91,07310
2023-05-09,721,71,07310
2023-05-10,837,85,07310
