zip_code,ride_id,started_at_date,ride_length
07030,13F320ABB2A33457,2022-11-16,6
07030,76E0B41818F8C316,2022-11-08,6
07030,C025233A62893267,2022-11-09,6
07030,C64B68089D79DE1F,2022-11-20,6
07030,EA5AC08B3A8EC5C0,2022-11-13,11
07030,A2C4E6D9E175D235,2022-11-19,11
07030,57F854D97806AC64,2022-11-07,7
07030,C314A8458200684D,2022-11-07,17
07030,454D56EDF775BCB2,2022-11-18,7
07030,4733E8934AD6E18D,2022-11-15,11
07030,E7E462ED0CA797C5,2022-11-01,5
07030,5C3DA65790838AA4,2022-11-05,7
07030,1510CBCB90788391,2022-11-19,10
07030,3A08CB1EF66122DD,2022-11-12,9
07030,3C4DAA0FCC8F3D45,2022-11-02,7
07030,7898538F7985C44E,2022-11-17,6
07030,DC84F5797A13C461,2022-11-28,6
07030,8D8C64D6FDDFB1A4,2022-11-12,7
07030,8129BB8C2DAC1356,2022-11-03,9
07030,4FFC12E5C73B57DD,2022-11-12,19
07030,E2ACBD5CB8649022,2022-11-27,10
07030,7F41F755929CF9FF,2022-11-20,8
07030,B70757DC4F3A9534,2022-11-20,34
07030,4B0060D0AADF011C,2022-11-17,6
07030,719FA6427147B160,2022-11-16,6
07030,89FC798DE9EB576B,2022-11-03,7
07030,FFD55F234F5A248E,2022-11-10,10
07030,2CD319295A81693B,2022-11-28,8
07030,6D226FC42C8F89C4,2022-11-22,7
07030,F188ABE87A33DBD0,2022-11-22,8
07030,711C3E3B882BF867,2022-11-24,4
07030,4E258420942A1AC8,2022-11-16,6
07030,C022FC6672857987,2022-11-08,8
07030,40B0B656AA7EA0AF,2022-11-23,7
07030,202C13EFD1EDF24F,2022-11-07,6
07030,AE264D9A26D1FADE,2022-11-16,6
07030,BC930639AB73EB03,2022-11-11,5
07030,13CE4D71FC497792,2022-11-26,8
07030,30268C6052BF1374,2022-11-11,8
07030,53F0C37D4D229188,2022-11-04,40
07030,3CCDD1D35FF55955,2022-11-07,36
07030,6E7898B728DAC9BB,2022-11-16,6
07030,4335E431ABD20AE8,2022-11-10,12
07030,FAACD65C7D7FAA8D,2022-11-12,7
07030,D27467B0F3DB9D93,2022-11-05,8
07030,4005F1C0CACE28E4,2022-11-09,11
07030,947660CCAE28F3AE,2022-11-10,6
07030,49B7C53C7B0F9988,2022-11-18,5
07030,0250788BAE4852FB,2022-11-22,7
07030,456D70C7018BA577,2022-11-26,39
07030,733767C402759DD5,2022-11-12,12
07030,1674619327B18606,2022-11-16,5
07030,7E5DC28564008ED9,2022-11-26,10
07030,02D902BFF0B5DEF8,2022-11-02,8
07030,C72E0A454C0F4B41,2022-11-06,12
07030,0054C771EA837562,2022-11-05,9
07030,CFB9431ECF6F82A5,2022-11-19,7
07030,472C7BAE5AF48E63,2022-11-14,6
07030,D61A06390F7895C6,2022-11-15,7
07030,4E56FBE98E09A8CA,2022-11-05,8
07030,9F81CB0D9B02B1DA,2022-11-18,6
07030,FFFC118995A1A4F0,2022-11-12,8
07030,B43150D1125460C2,2022-11-28,13
07030,AE35591C8F3E1C8D,2022-11-16,38
07030,70058443933382F5,2022-11-19,10
07030,1D4885E5B632397F,2022-11-18,8
07030,8BEF4E1EC5098FA8,2022-11-05,8
07030,DD7A7E8CF38BCE1E,2022-11-17,6
07030,0888AE99C02E943A,2022-11-13,13
07030,5A7B535E2293235A,2022-11-02,119
07030,0EFBF345B13D1483,2022-11-12,8
07030,4A65A04592D0D5FB,2022-11-03,6
07030,C4C92D22B9D1CB8A,2022-11-07,9
07030,F0DDB2F62A0B4FE8,2022-11-04,9
07030,63BD151F7050EE8D,2022-11-26,5
07030,4E5ABF030C9EC83D,2022-11-28,17
07030,C22199734B8885EB,2022-11-02,6
07030,B1442B124D0A4D20,2022-11-19,4
07030,3D06B02E66312161,2022-11-02,6
07030,B7B8FED68D818DD4,2022-11-29,6
07030,3C3B2C3BF1234A39,2022-11-16,6
07030,D4D8F1089C2C5E3A,2022-11-08,6
07030,7D7155A03A5EFE0F,2022-11-29,6
07030,666F1D3B386400DE,2022-11-15,5
07030,E56F477005EC5394,2022-11-23,11
07030,FC143DFDE03914FB,2022-11-25,9
07030,A6CFAB7E5C4A65D1,2022-11-23,21
