date,total_length,number_of_rides,zip_code
2022-11-01,1042,109,07030
2022-11-02,2879,110,07030
2022-11-03,1083,117,07030
2022-11-04,979,91,07030
2022-11-05,2806,169,07030
2022-11-06,1478,94,07030
2022-11-07,2743,116,07030
2022-11-08,762,91,07030
2022-11-09,608,75,07030
2022-11-10,792,94,07030
2022-11-11,560,46,07030
2022-11-12,2336,149,07030
2022-11-13,843,75,07030
2022-11-14,583,72,07030
2022-11-15,434,61,07030
2022-11-16,605,85,07030
2022-11-17,556,76,07030
2022-11-18,432,49,07030
2022-11-19,834,81,07030
2022-11-20,678,43,07030
2022-11-21,343,47,07030
2022-11-22,558,73,07030
2022-11-23,1952,42,07030
2022-11-24,694,32,07030
2022-11-25,375,34,07030
2022-11-26,743,51,07030
2022-11-27,258,32,07030
2022-11-28,692,83,07030
2022-11-29,971,68,07030
2022-11-30,301,45,07030
2022-12-01,603,80,07030
2022-12-02,481,64,07030
2022-12-03,354,55,07030
2022-12-04,495,52,07030
2022-12-05,2659,67,07030
2022-12-06,192,33,07030
2022-12-07,636,82,07030
2022-12-08,575,87,07030
2022-12-09,403,61,07030
2022-12-10,549,62,07030
2022-12-11,352,35,07030
2022-12-12,447,64,07030
2022-12-13,563,80,07030
2022-12-14,735,70,07030
2022-12-15,278,34,07030
2022-12-16,188,20,07030
2022-12-17,540,66,07030
2022-12-18,520,51,07030
2022-12-19,408,61,07030
2022-12-20,459,61,07030
2022-12-21,330,53,07030
2022-12-22,144,21,07030
2022-12-23,65,12,07030
2022-12-24,1516,3,07030
2022-12-25,195,4,07030
2022-12-26,98,18,07030
2022-12-27,259,32,07030
2022-12-28,289,36,07030
2022-12-29,458,48,07030
2022-12-30,1310,71,07030
2022-12-31,523,26,07030
2023-01-01,1379,82,07030
2023-01-02,1167,74,07030
2023-01-03,394,47,07030
2023-01-04,2066,68,07030
2023-01-05,567,74,07030
2023-01-06,371,41,07030
2023-01-07,713,51,07030
2023-01-08,2262,66,07030
2023-01-09,500,60,07030
2023-01-10,1160,72,07030
2023-01-11,603,67,07030
2023-01-12,328,38,07030
