zip_code,ride_id,started_at_date,ride_length
07310,7B06EEA21608591A,2022-11-12,11
07310,B22A3E8765F1E165,2022-11-30,16
07310,CFB2EB1663C02BB6,2022-11-09,16
07310,85700816DAAE1C36,2022-11-30,10
07310,009EBB1F54C5947E,2022-11-10,9
07310,FD4EC8F7CB1254AB,2022-11-02,15
07310,61432A22A7CC9616,2022-11-07,10
07310,95740CA0E142AE35,2022-11-07,17
07310,281BAA94E6258C4E,2022-11-22,20
07310,731B92F9C8C81364,2022-11-18,15
07310,3C9B42DF28869B4F,2022-11-05,15
07310,7DDC41A0B5B33A3E,2022-11-10,39
07310,8D251DAD102E0CCD,2022-11-12,8
07310,1BFDD6D877C1EAF0,2022-11-08,11
07310,FD01ACE64F3DACEF,2022-11-19,8
07310,9AAF4474805C17E6,2022-11-08,12
07310,EFE961BB5138FD65,2022-11-04,5
07310,FCC4EA050FA5EA95,2022-11-08,7
07310,AFF7246E62F2BAFB,2022-11-01,8
07310,40227632D7DA2E82,2022-11-10,8
07310,F87C181F2D4011E3,2022-11-12,8
07310,BD4976B99A3C95CE,2022-11-10,22
07310,991E4F6E082C16CE,2022-11-16,6
07310,1283F587831311CF,2022-11-01,9
07310,7F74EAEF95E61BB9,2022-11-25,7
07310,37121CD88D329B09,2022-11-14,7
07310,53C3CDB5116E0330,2022-11-02,11
07310,8CC4C9A2FC7325E7,2022-11-22,9
07310,289D2D2FFEF32F6C,2022-11-09,6
07310,38A49C93502151E1,2022-11-07,7
07310,EC4699614E17F8A6,2022-11-03,44
07310,61B98CE74213A7CA,2022-11-16,7
07310,404C22A9A0D375F5,2022-11-15,7
07310,510DF437604957CE,2022-11-28,10
07310,D987C47136EB2C4C,2022-11-07,7
07310,6CBB582C3AF41A18,2022-11-11,8
07310,BCEF5309F6DADAAD,2022-11-04,8
07310,A49FF7318BCC859C,2022-11-01,6
07310,E33A1D029915FAEB,2022-11-09,7
07310,F56F2D7E46B4FCA1,2022-11-10,9
07310,C3D1EC307B438094,2022-11-25,9
07310,82F0D44F2FDFC2E4,2022-11-29,6
07310,1863A3278A3A615E,2022-11-24,23
07310,47A53FED97DBCE19,2022-11-03,11
07310,0D4C694F66C3E8F1,2022-11-21,12
07310,54AC01BEF8130CD4,2022-11-13,12
07310,A19F26D8DD566456,2022-11-03,6
07310,383895C6D8DA4CF8,2022-11-24,23
07310,2D24A6D8E3439FFF,2022-11-18,7
07310,8B2B0315B072EF4B,2022-11-23,9
07310,D66F3BCE2777FBC6,2022-11-15,6
07310,EC92E86925F4DB5A,2022-11-07,6
07310,AF16BEF0D1D71E49,2022-11-30,11
07310,6365499AB9010890,2022-11-29,5
07310,A5C3BD75CBB28A28,2022-11-05,16
07310,9281B647EB6AB99E,2022-11-13,8
07310,4575332D781FB127,2022-11-02,6
07310,2A1B9CEEA45A0FE3,2022-11-17,6
07310,A4FD5C2D5C1921B9,2022-11-03,45
07310,D56F590A5ED485FF,2022-11-28,11
07310,764D044D2EF1C193,2022-11-26,9
07310,E796F6DD5F0D2E78,2022-11-21,11
07310,A1262A006362BBC7,2022-11-22,6
07310,B7F7135398E8BEEE,2022-11-03,11
07310,82B988BD1A733C63,2022-11-14,12
07310,8A0894442E3AA115,2022-11-26,8
07310,7D1B1CCE156377B1,2022-11-25,5
07310,FCD56B996ACE5D19,2022-11-08,6
07310,88679692D28DB4C7,2022-11-16,7
07310,DDBA62E120324FD9,2022-11-03,18
07310,02F2AE36289B2A0C,2022-11-07,8
07310,644955AE8A2BA678,2022-11-29,8
07310,7CDE7CC8AED467C4,2022-11-17,4
07310,6D85E6DB7D7BB91B,2022-11-15,5
