date,total_length,number_of_rides,zip_code
2022-11-01,1876,48,07302
2022-11-02,472,54,07302
2022-11-03,514,51,07302
2022-11-04,497,57,07302
2022-11-05,857,63,07302
2022-11-06,748,57,07302
2022-11-07,714,55,07302
2022-11-08,361,49,07302
2022-11-09,582,58,07302
2022-11-10,356,53,07302
2022-11-11,642,37,07302
2022-11-12,749,58,07302
2022-11-13,718,50,07302
2022-11-14,175,30,07302
2022-11-15,192,36,07302
2022-11-16,162,30,07302
2022-11-17,314,39,07302
2022-11-18,311,41,07302
2022-11-19,308,46,07302
2022-11-20,164,26,07302
2022-11-21,199,26,07302
2022-11-22,337,40,07302
2022-11-23,255,36,07302
2022-11-24,300,20,07302
2022-11-25,14,2,07302
2022-11-26,100,8,07302
2022-11-27,1602,19,07302
2022-11-28,229,35,07302
2022-11-29,279,39,07302
2022-11-30,157,27,07302
2022-12-01,223,37,07302
2022-12-02,247,34,07302
2022-12-03,272,28,07302
2022-12-04,486,37,07302
2022-12-05,1718,37,07302
2022-12-06,168,32,07302
2022-12-07,118,24,07302
2022-12-08,285,46,07302
2022-12-09,287,36,07302
2022-12-10,2017,43,07302
2022-12-11,105,12,07302
2022-12-12,156,23,07302
2022-12-13,225,26,07302
2022-12-14,170,30,07302
2022-12-15,90,20,07302
2022-12-16,76,15,07302
2022-12-17,219,33,07302
2022-12-18,160,19,07302
2022-12-19,317,33,07302
2022-12-20,201,30,07302
2022-12-21,203,31,07302
2022-12-22,124,17,07302
2022-12-23,56,9,07302
2022-12-24,160,6,07302
2022-12-25,112,5,07302
2022-12-26,40,7,07302
2022-12-27,86,12,07302
2022-12-28,525,29,07302
2022-12-29,322,31,07302
2022-12-30,440,30,07302
2022-12-31,212,17,07302
2023-01-01,467,26,07302
2023-01-02,462,23,07302
2023-01-03,106,18,07302
2023-01-04,863,28,07302
2023-01-05,358,31,07302
2023-01-06,223,41,07302
2023-01-07,348,37,07302
2023-01-08,432,30,07302
2023-01-09,239,24,07302
2023-01-10,165,29,07302
2023-01-11,1656,33,07302
2023-01-12,141,21,07302
2023-01-13,1671,34,07302
2023-01-14,168,20,07302
2023-01-15,145,19,07302
2023-01-16,143,23,07302
2023-01-17,187,32,07302
2023-01-18,122,29,07302
2023-01-19,80,13,07302
2023-01-20,201,38,07302
2023-01-21,202,31,07302
2023-01-22,157,26,07302
2023-01-23,68,8,07302
2023-01-24,213,36,07302
2023-01-25,118,22,07302
2023-01-26,109,24,07302
2023-01-27,370,29,07302
2023-01-28,309,39,07302
2023-01-29,437,38,07302
2023-01-30,292,37,07302
2023-01-31,113,21,07302
2023-02-01,267,32,07302
2023-02-02,103,22,07302
2023-02-03,1587,16,07302
2023-02-04,84,13,07302
2023-02-05,409,26,07302
2023-02-06,151,28,07302
2023-02-07,139,24,07302
2023-02-08,179,32,07302
2023-02-09,175,30,07302
2023-02-10,355,32,07302
2023-02-11,459,35,07302
2023-02-12,186,26,07302
2023-02-13,201,32,07302
2023-02-14,1665,36,07302
2023-02-15,270,38,07302
2023-02-16,186,29,07302
2023-02-17,218,23,07302
2023-02-18,133,28,07302
2023-02-19,143,20,07302
2023-02-20,430,45,07302
2023-02-21,147,25,07302
2023-02-22,137,28,07302
2023-02-23,115,27,07302
2023-02-24,169,28,07302
2023-02-25,148,28,07302
2023-02-26,195,27,07302
2023-02-27,173,37,07302
2023-02-28,130,23,07302
2023-03-01,168,32,07302
2023-03-02,176,29,07302
2023-03-03,144,28,07302
2023-03-04,272,24,07302
2023-03-05,437,28,07302
2023-03-06,147,26,07302
2023-03-07,172,32,07302
2023-03-08,130,31,07302
2023-03-09,178,34,07302
2023-03-10,139,31,07302
2023-03-11,130,19,07302
2023-03-12,1332,25,07302
2023-03-13,91,18,07302
2023-03-14,162,22,07302
2023-03-15,227,35,07302
2023-03-16,286,34,07302
2023-03-17,290,39,07302
2023-03-18,448,38,07302
2023-03-19,240,23,07302
2023-03-20,129,26,07302
2023-03-21,415,49,07302
2023-03-22,196,29,07302
2023-03-23,211,33,07302
2023-03-24,206,34,07302
2023-03-25,72,9,07302
2023-03-26,827,54,07302
2023-03-27,221,29,07302
2023-03-28,135,28,07302
2023-03-29,331,38,07302
2023-03-30,261,36,07302
2023-03-31,255,35,07302
2023-04-01,850,48,07302
2023-04-02,564,35,07302
2023-04-03,147,26,07302
2023-04-04,314,40,07302
2023-04-05,275,40,07302
2023-04-06,623,41,07302
2023-04-07,279,40,07302
2023-04-08,523,40,07302
2023-04-09,703,42,07302
2023-04-10,494,44,07302
2023-04-11,604,53,07302
2023-04-12,691,58,07302
2023-04-13,1097,59,07302
2023-04-14,1202,68,07302
2023-04-15,1091,67,07302
2023-04-16,1346,72,07302
2023-04-17,450,50,07302
2023-04-18,400,44,07302
2023-04-19,498,56,07302
2023-04-20,229,44,07302
2023-04-21,451,52,07302
2023-04-22,494,47,07302
2023-04-23,1751,74,07302
2023-04-24,313,44,07302
2023-04-25,367,49,07302
2023-04-26,334,54,07302
2023-04-27,255,43,07302
2023-04-28,307,52,07302
2023-04-29,1573,6,07302
2023-04-30,52,11,07302
2023-05-01,383,43,07302
2023-05-02,168,36,07302
2023-05-03,696,40,07302
2023-05-04,424,45,07302
2023-05-05,519,58,07302
2023-05-06,1019,67,07302
2023-05-07,5880,81,07302
2023-05-08,184,25,07302
2023-05-11,828,64,07302
2023-05-12,467,52,07302
2023-05-13,1214,69,07302
2023-05-14,1901,70,07302
2023-05-15,853,65,07302
2023-05-16,2286,73,07302
2023-05-17,1067,63,07302
2023-05-18,335,45,07302
2023-05-19,300,46,07302
2023-05-20,141,17,07302
2023-05-21,1575,76,07302
2023-05-22,416,43,07302
2023-05-23,750,61,07302
2023-05-24,422,46,07302
2023-05-25,533,56,07302
2023-05-26,582,53,07302
2023-05-27,865,65,07302
2023-05-28,751,50,07302
2023-05-29,1651,77,07302
2023-05-30,524,56,07302
2023-05-31,338,52,07302
2023-06-01,1212,83,07302
2023-06-02,878,78,07302
2023-06-03,963,68,07302
2023-06-04,2740,92,07302
2023-06-05,947,58,07302
2023-06-06,1137,69,07302
2023-06-07,227,48,07302
2023-06-08,1726,36,07302
2023-06-09,456,54,07302
2023-06-10,2379,85,07302
2023-06-11,1392,80,07302
2023-06-12,358,38,07302
2023-06-13,482,55,07302
2023-06-14,364,53,07302
2023-06-15,529,67,07302
2023-06-16,470,52,07302
2023-06-17,1615,62,07302
2023-06-18,2041,70,07302
2023-06-19,1745,85,07302
2023-06-20,290,50,07302
2023-06-21,483,61,07302
2023-06-22,444,53,07302
2023-06-23,455,61,07302
2023-06-24,2058,76,07302
2023-06-25,867,56,07302
2023-06-26,253,40,07302
2023-06-27,360,51,07302
2023-06-28,832,71,07302
2023-06-29,700,73,07302
2023-06-30,731,72,07302
2023-07-01,1408,81,07302
2023-07-02,867,63,07302
2023-07-03,659,71,07302
2023-07-04,1878,94,07302
2023-07-05,1339,62,07302
2023-07-06,659,58,07302
2023-07-07,1048,71,07302
2023-07-08,1222,87,07302
2023-07-09,874,63,07302
2023-07-10,736,70,07302
2023-07-11,1707,69,07302
2023-07-12,632,67,07302
2023-07-13,660,53,07302
2023-07-14,1655,66,07302
2023-07-15,1342,81,07302
2023-07-16,314,24,07302
2023-07-17,1666,72,07302
2023-07-18,1284,68,07302
2023-07-19,704,70,07302
2023-07-20,1097,58,07302
2023-07-21,1053,81,07302
2023-07-22,1390,92,07302
2023-07-23,1812,79,07302
2023-07-24,648,64,07302
2023-07-25,400,51,07302
2023-07-26,784,75,07302
2023-07-27,458,67,07302
2023-07-28,622,76,07302
2023-07-29,1128,70,07302
2023-07-30,3016,99,07302
2023-07-31,2260,57,07302
2023-08-01,779,73,07302
2023-08-02,1461,77,07302
2023-08-03,687,88,07302
2023-08-04,1190,97,07302
2023-08-05,1209,83,07302
2023-08-06,1453,80,07302
2023-08-07,274,39,07302
2023-08-08,701,75,07302
2023-08-09,540,68,07302
2023-08-10,294,60,07302
2023-08-11,891,94,07302
2023-08-12,891,82,07302
2023-08-13,2559,107,07302
2023-08-14,539,60,07302
2023-08-15,596,68,07302
2023-08-16,1089,78,07302
2023-08-17,478,67,07302
2023-08-18,1099,72,07302
2023-08-19,1647,92,07302
2023-08-20,1185,80,07302
2023-08-21,595,55,07302
2023-08-22,482,60,07302
2023-08-23,706,71,07302
2023-08-24,493,63,07302
2023-08-25,618,59,07302
2023-08-26,1090,83,07302
2023-08-27,1382,88,07302
2023-08-28,732,55,07302
2023-08-29,374,63,07302
2023-08-30,809,74,07302
2023-08-31,651,60,07302
2023-09-01,946,76,07302
2023-09-02,1039,45,07302
2023-09-03,813,66,07302
2023-09-04,1417,70,07302
2023-09-05,617,69,07302
2023-09-06,596,73,07302
2023-09-07,487,65,07302
2023-09-08,587,71,07302
2023-09-09,824,63,07302
2023-09-10,752,56,07302
2023-09-11,588,49,07302
2023-09-12,2107,74,07302
2023-09-13,475,66,07302
2023-09-14,557,74,07302
2023-09-15,683,76,07302
2023-09-16,1032,69,07302
2023-09-17,1454,86,07302
2023-09-18,269,29,07302
2023-09-19,1540,75,07302
2023-09-20,516,56,07302
2023-09-21,552,73,07302
2023-09-22,2349,71,07302
2023-09-23,194,19,07302
2023-09-24,84,17,07302
2023-09-25,30,6,07302
2023-09-26,216,40,07302
2023-09-27,240,39,07302
2023-09-28,336,56,07302
2023-09-29,1699,14,07302
2023-09-30,669,57,07302
2023-10-01,1275,62,07302
2023-10-02,528,71,07302
2023-10-03,562,61,07302
2023-10-04,954,73,07302
2023-10-05,601,66,07302
2023-10-06,275,49,07302
2023-10-07,376,41,07302
2023-10-08,966,53,07302
2023-10-09,349,49,07302
2023-10-10,1408,67,07302
2023-10-11,436,66,07302
2023-10-12,474,63,07302
2023-10-13,1332,83,07302
2023-10-14,134,15,07302
2023-10-15,1994,49,07302
2023-10-16,287,41,07302
2023-10-17,392,62,07302
2023-10-18,518,62,07302
2023-10-19,405,63,07302
2023-10-20,306,32,07302
2023-10-21,317,39,07302
2023-10-22,787,49,07302
2023-10-23,304,46,07302
2023-10-24,326,51,07302
2023-10-25,403,67,07302
2023-10-26,417,64,07302
2023-10-27,583,71,07302
2023-10-28,1114,67,07302
2023-10-29,397,35,07302
2023-10-30,324,44,07302
2023-10-31,225,40,07302
2022-11-01,1042,109,07030
2022-11-02,2879,110,07030
2022-11-03,1083,117,07030
2022-11-04,979,91,07030
2022-11-05,2806,169,07030
2022-11-06,1478,94,07030
2022-11-07,2743,116,07030
2022-11-08,762,91,07030
2022-11-09,608,75,07030
2022-11-10,792,94,07030
2022-11-11,560,46,07030
2022-11-12,2336,149,07030
2022-11-13,843,75,07030
2022-11-14,583,72,07030
2022-11-15,434,61,07030
2022-11-16,605,85,07030
2022-11-17,556,76,07030
2022-11-18,432,49,07030
2022-11-19,834,81,07030
2022-11-20,678,43,07030
2022-11-21,343,47,07030
2022-11-22,558,73,07030
2022-11-23,1952,42,07030
2022-11-24,694,32,07030
2022-11-25,375,34,07030
2022-11-26,743,51,07030
2022-11-27,258,32,07030
2022-11-28,692,83,07030
2022-11-29,971,68,07030
2022-11-30,301,45,07030
2022-12-01,603,80,07030
2022-12-02,481,64,07030
2022-12-03,354,55,07030
2022-12-04,495,52,07030
2022-12-05,2659,67,07030
2022-12-06,192,33,07030
2022-12-07,636,82,07030
2022-12-08,575,87,07030
2022-12-09,403,61,07030
2022-12-10,549,62,07030
2022-12-11,352,35,07030
2022-12-12,447,64,07030
2022-12-13,563,80,07030
2022-12-14,735,70,07030
2022-12-15,278,34,07030
2022-12-16,188,20,07030
2022-12-17,540,66,07030
2022-12-18,520,51,07030
2022-12-19,408,61,07030
2022-12-20,459,61,07030
2022-12-21,330,53,07030
2022-12-22,144,21,07030
2022-12-23,65,12,07030
2022-12-24,1516,3,07030
2022-12-25,195,4,07030
2022-12-26,98,18,07030
2022-12-27,259,32,07030
2022-12-28,289,36,07030
2022-12-29,458,48,07030
2022-12-30,1310,71,07030
2022-12-31,523,26,07030
2023-01-01,1379,82,07030
2023-01-02,1167,74,07030
2023-01-03,394,47,07030
2023-01-04,2066,68,07030
2023-01-05,567,74,07030
2023-01-06,371,41,07030
2023-01-07,713,51,07030
2023-01-08,2262,66,07030
2023-01-09,500,60,07030
2023-01-10,1160,72,07030
2023-01-11,603,67,07030
2023-01-12,328,38,07030
2023-01-13,484,54,07030
2023-01-14,407,40,07030
2023-01-15,1765,39,07030
2023-01-16,3073,51,07030
2023-01-17,494,67,07030
2023-01-18,867,68,07030
2023-01-19,205,33,07030
2023-01-20,528,78,07030
2023-01-21,588,51,07030
2023-01-22,509,43,07030
2023-01-23,298,35,07030
2023-01-24,477,64,07030
2023-01-25,200,29,07030
2023-01-26,1705,57,07030
2023-01-27,445,57,07030
2023-01-28,1092,76,07030
2023-01-29,590,75,07030
2023-01-30,668,84,07030
2023-01-31,333,42,07030
2023-02-01,425,62,07030
2023-02-02,437,64,07030
2023-02-03,200,30,07030
2023-02-04,196,27,07030
2023-02-05,399,48,07030
2023-02-06,543,69,07030
2023-02-07,540,65,07030
2023-02-08,520,71,07030
2023-02-09,582,83,07030
2023-02-10,761,74,07030
2023-02-11,689,60,07030
2023-02-12,1316,58,07030
2023-02-13,644,73,07030
2023-02-14,638,69,07030
2023-02-15,1821,86,07030
2023-02-16,485,68,07030
2023-02-17,261,39,07030
2023-02-18,1728,46,07030
2023-02-19,670,60,07030
2023-02-20,1147,106,07030
2023-02-21,458,58,07030
2023-02-22,418,62,07030
2023-02-23,507,69,07030
2023-02-24,378,45,07030
2023-02-25,235,32,07030
2023-02-26,518,34,07030
